EC,EO
-5.619645342228838,-5.759104338943265
-6.014848791954124,-5.346177596504335
-6.371451242350705,-4.952773074100743
-6.674051183233513,-4.588666419091648
-6.914073843014697,-4.260818183239435
-7.090303316777618,-3.97244072904237
-7.208789041270898,-3.7223386071647746
-7.282145484804873,-3.504610736419311
-7.32831875250557,-3.308777914200754
-7.36893607828073,-3.1203605160175343
-7.4273806232500315,-2.92188231739212
-7.52674814804853,-2.6942271233816393
-7.687847465544989,-2.4182353437530946
-7.927402016525276,-2.076400565918468
-8.256592798118131,-1.6545106739190891
-8.680052811876939,-1.1430776651240426
-9.195382303156483,-0.5384195238666284
-9.793206971015993,0.1567065544711754
-10.457755247011745,0.9329752406582322
-11.167892357785371,1.7748752916727586
-11.898519839225617,2.6615625968290093
-12.622226427066124,3.568107551723704
-13.311058599099729,4.467041426565093
-13.938271104548708,5.330099558695643
-14.47992498164143,6.130052249702088
-14.916221958282282,6.842502420349043
-15.232492937910253,7.4475200969969615
-15.419787482756224,7.930988235987148
-15.47503806361605,8.285554128096356
-15.400799334618311,8.511109551673611
-15.204592572259251,8.614756536284041
-14.8979202015061,8.610255150907847
-14.495051516933776,8.516995640900225
-14.011708983118416,8.358583723719564
-13.463793334311097,8.161164794710675
-12.866270391104006,7.951632344113334
-12.232310972891375,7.755867075383052
-11.572741181115454,7.597140446452131
-10.895831146678681,7.494794596973625
-10.207424477695044,7.463282608256753
-9.511383196386335,7.5116194581682025
-8.810291570507236,7.643256575526688
-8.106330604559082,7.856357369991375
-7.4022119981485,8.144423368126182
-6.70205309592,8.497199349740345
-6.012080906823171,8.901765856026142
-5.341066349846641,9.34370893578982
-4.700407466630312,9.808247070496494
-4.103808826184677,10.281201162493234
-3.5665482674625126,10.749717843321635
-3.1043754311109564,11.202695214562365
-2.7321373943314082,11.630904351448963
-2.4622655586130153,12.026840062476726
-2.3032786508056833,12.38436479808897
-2.258457174319863,12.698228003069037
-2.3248287423940552,12.96354963596628
-2.4925785280599273,13.175353733467707
-2.7449693226906886,13.328229936903478
-3.058821468012421,13.416188768722646
-3.405561247412355,13.432755283741397
-3.752795819985302,13.371309960456943
-4.0663178723868505,13.225638512046654
-4.312393069465451,12.990609061547074
-4.460147310283156,12.662874220258885
-4.483854068986267,12.24150338313183
-4.364925698113801,11.728476432513679
-4.093436001640013,11.128996741569738
-3.669044611847089,10.451598417296035
-3.101253260711966,9.7080313549427
-2.4089880786401423,8.912916130507664
-1.619555125594732,8.083176136721832
-0.7670523014865211,7.2372771032432
0.10965295491514787,6.394327462537647
0.9692449061737669,5.573107883597388
1.7704201992264905,4.791100855919717
2.4743152567074675,4.063585174264573
3.0467320196328282,3.402851768239581
3.460014940871044,2.8175903252821195
3.694465782498963,2.3124912236157225
3.739224025563107,1.8881018390389157
3.592584167469184,1.5409644759677503
3.2617616854545224,1.2640400043286697
2.762154522915832,1.047389232427785
2.1161760039776505,0.8790535626856641
1.3517566326410064,0.7460572225084781
0.5006248805416844,0.6354463534191817
-0.40351779952147915,0.5352808719562526
-1.3268119387689252,0.43550096949643574
-2.2369334636406317,0.32860225862313647
-3.1045672558387505,0.21007063539331972
-3.9045861739030303,0.07854578077473534
-4.616889314416944,-0.06430017861794605
-5.226880817833025,-0.21416135595453037
-5.725597523705578,-0.3647406416200438
-6.109521785396778,-0.5085753877531247
-6.38014094125466,-0.6379622611228984
-6.543331230475689,-0.7458821646288196
-6.608648385324749,-0.8268234454022274
-6.588599716809605,-0.8774132225957382
